Time,Latitude,Longitude,Depth/Km,Magnitude
52:31.3,42.853,13.2213,8.3,3.4
30:53.8,42.8597,13.2267,8.9,2.5
30:53.7,42.8617,13.2267,8.8,2.7
04:38.3,42.6207,13.2332,12.1,2
23:04.2,42.7507,13.2305,11.2,3.3
32:19.6,42.8438,13.117,12.4,2.2
46:49.1,42.7763,13.2702,14.4,2
41:00.5,42.839,13.1392,10,2.3
44:44.7,42.7973,13.2225,10.9,2.3
47:45.6,42.787,13.1268,9.5,2.3
56:21.6,42.8568,13.2563,9.1,2
19:06.9,42.7582,13.1873,10.8,2.7
00:36.2,42.7328,13.1868,9.9,2.1
42:32.4,42.7168,13.2412,15,2.4
34:54.3,42.741,13.1883,10.7,2.4
07:24.2,42.755,13.3247,16.3,2.6
12:52.2,42.8218,13.2553,8.6,3.5
15:38.3,42.7632,13.2403,14.4,2.3
42:34.8,42.7515,13.3172,14.5,2
30:23.5,42.7453,13.2058,10.8,2.3
05:07.1,42.8177,13.1618,10.6,2.6
08:03.0,42.8213,13.1312,9.5,3.5
32:13.9,42.6657,13.2077,13.3,2.1
42:52.2,42.776,13.168,9.8,3.5
48:39.4,42.7528,13.1873,10.3,2
14:09.7,42.7408,13.2335,9.2,3.5
29:37.9,42.817,13.2317,8.2,2.2
54:22.7,42.7523,13.2287,11,2.8
46:38.2,42.7672,13.2128,14.1,2.6
08:26.9,42.6517,13.1853,11.8,2.1
21:47.1,42.7432,13.2028,13.3,2
55:52.4,42.847,13.1813,15.1,3.1
59:06.2,42.7747,13.1617,10.1,2
31:57.6,42.246,13.5863,8.3,2.2
32:48.7,42.9572,13.426,20.4,2.4
08:18.2,42.6123,13.3087,10.5,2.3
12:57.7,42.7667,13.1583,14,2.2
42:05.2,42.582,13.2687,10.1,2.1
43:22.7,42.7747,13.1627,10.4,2.9
53:04.0,42.6207,13.3122,8.9,3.6
00:12.1,42.6317,13.312,8.8,2.2
35:33.7,42.5745,13.3068,10.5,2
54:14.0,42.5287,13.3198,18.4,2.4
51:52.4,42.7902,13.1207,13.3,2.3
56:24.1,42.7427,13.1877,10.5,2.2
57:30.6,42.8557,13.2562,8.8,2.1
34:39.6,41.5813,13.396,14.3,2
49:34.3,42.8583,13.2342,10.4,3.1
14:36.9,42.5832,13.2973,10.6,2
40:29.4,42.813,13.2358,9.7,3.1
16:04.2,42.6458,13.3008,13.5,2.5
02:43.8,42.81,13.1685,10.6,3.1
10:06.0,42.5652,13.3067,11.4,2.2
31:05.8,42.7593,13.1843,10.9,2.4
35:57.3,42.5578,13.2988,10.8,3.3
40:44.3,42.7928,13.2062,10.1,2
05:59.1,42.6517,13.2528,13,2.1
07:04.4,42.8243,13.1563,9.3,2.2
30:56.0,42.5637,13.2968,10,2
59:01.3,42.8293,13.1477,8.8,2.2
25:49.3,42.6923,13.1608,12.8,2.6
37:09.3,42.7067,13.1727,13.5,2
43:03.8,42.8102,13.2358,7.2,2.5
14:08.1,42.7088,13.2343,12.3,2.2
30:51.0,42.8502,13.237,9.5,2
21:26.4,42.7567,13.2787,16.5,2.1
44:49.2,42.8217,13.1448,9.8,2.1
00:40.8,42.7648,13.217,9.3,2
01:54.1,42.8437,13.259,16.5,2.3
14:23.2,42.9108,13.2037,9.9,2
00:11.8,42.7903,13.2187,10.3,2.4
37:18.5,42.8027,13.2327,10.8,2.3
38:03.5,42.8423,13.213,7.9,2.1
53:04.0,42.7147,13.1842,9.4,2
58:43.5,42.8503,13.2648,18.5,2.4
59:46.0,42.8693,13.1228,6.7,2.3
39:55.1,42.7435,13.2163,9.1,2.4
56:20.2,42.6907,13.2353,13.4,2
12:03.7,42.698,13.2743,12.7,2.1
13:11.4,42.9087,13.2007,10.3,2.1
30:08.9,42.59,13.2238,11.1,2.3
09:46.8,42.8947,13.2572,10,2
39:27.4,42.7337,13.1768,8,2.4
50:45.3,43.2643,12.6898,9.2,2.2
05:02.6,42.8232,13.0573,8.1,2.5
19:27.2,42.8247,13.063,9.5,2.3
31:22.7,42.7382,13.1807,9,2
48:34.4,42.8033,13.2097,10.2,2.2
30:21.6,42.8418,13.2365,9.9,2.9
47:09.1,42.6093,13.296,8.5,2.3
36:14.0,42.6647,13.33,10.3,2.1
39:40.6,42.7257,13.1998,13.2,2
35:24.2,42.9208,13.2498,8.9,2.6
37:19.3,42.8428,13.234,8.6,2.1
55:03.9,42.8452,13.2065,8.8,2.9
14:31.8,42.8087,13.1725,12.4,2.3
33:13.6,42.63,13.2597,11.7,2
42:43.4,42.9217,13.2567,8.8,2
47:56.3,42.6868,13.2788,11.6,2
27:50.6,42.8052,13.1983,10.8,2.4
15:50.3,42.8012,13.2277,9.4,2
26:49.3,42.8663,13.2385,9.2,2.8
28:13.7,42.8628,13.2313,8.6,2.5
35:59.5,42.8593,13.2317,8.8,2.5
53:21.3,42.7957,13.2392,9.5,2
58:27.0,42.8587,13.2093,10,2.1
04:02.0,42.8243,13.1657,10.8,2.1
16:07.8,42.8143,13.2428,9.5,2.2
35:51.9,42.855,13.166,8.6,2
17:44.2,42.8518,13.2583,9.7,2.2
18:42.0,42.9278,13.2505,8.5,2.1
26:20.0,42.6837,13.1983,11.9,2.1
26:45.1,42.8553,13.1628,8.7,2.1
32:58.8,42.7662,13.1367,9.4,2.1
35:47.8,42.7552,13.1848,11.3,2.9
06:26.0,42.7518,13.2035,11.6,2.7
07:23.8,42.8568,13.1205,8.3,2.6
08:07.5,42.8625,13.1287,7.6,2.3
11:06.2,43.2863,12.6562,8.5,2.6
20:39.9,42.9308,13.2425,9.6,2.7
57:59.3,42.9437,13.2613,9.4,2
38:18.8,42.8627,13.1193,6.1,2.9
23:27.9,42.7507,13.1422,9.4,3
36:07.7,42.8565,13.222,8.4,2.5
41:57.5,42.7958,13.2115,10.3,2
00:15.7,42.8143,13.243,9.1,2.5
06:00.1,43.2852,12.6528,9.2,2.3
03:01.2,42.8373,13.2347,9.2,2.3
14:38.1,42.8632,13.1203,9.1,2.3
21:42.4,42.9272,13.2535,9.6,2.3
51:18.4,42.6162,13.2908,10.3,2.1
01:50.5,42.8175,13.2367,9.3,2.7
26:17.2,42.8237,13.1552,10.7,2.9
00:14.7,42.6258,13.3202,10.1,2.4
00:15.1,42.6258,13.3197,8.1,2.9
34:37.4,42.8573,13.2233,8.8,2.5
42:12.7,42.6635,13.2132,13.3,2
52:22.9,42.7947,13.1988,10.2,2
23:40.5,42.8212,13.1645,11,2.1
44:05.1,42.5932,13.3113,11.6,2
20:10.7,42.8182,13.1613,11,2
26:00.5,42.7412,13.1843,11.1,2
28:12.1,42.7807,13.1315,9.2,2.3
32:29.8,42.8377,13.1497,10.6,2.3
34:12.1,42.7698,13.1323,8.9,4.2
42:33.1,42.7823,13.1368,10.2,2.7
07:47.2,42.8027,13.1502,10.6,2.1
09:48.9,42.7872,13.1993,9.6,2.3
32:27.8,42.8522,13.2433,7.8,2
34:26.7,42.8083,13.2063,10.7,2.2
55:53.5,42.7377,13.1838,10.7,2.4
19:14.0,42.8117,13.1997,7.7,3
06:19.9,42.7293,13.1933,13.3,2
26:27.9,42.9215,13.2488,9.9,2.8
35:09.6,42.9178,13.2437,9.5,2
58:36.9,42.7573,13.1793,10.7,2.7
16:21.0,42.9408,13.2612,9.7,2
17:03.0,42.9183,13.2487,9.4,2.1
26:48.3,42.5625,13.3048,12,2
30:23.9,42.6543,13.2503,12.3,2
41:39.3,42.8335,13.1593,10.9,2.9
43:16.2,42.7442,13.1738,10.8,2
10:43.6,42.9287,13.2482,10.1,3
23:26.8,42.9248,13.2455,8.5,2.3
37:44.8,42.73,13.2902,14,2.7
01:35.1,42.7438,13.2355,12.8,2.5
21:59.3,42.8567,13.1707,8.3,2.2
30:56.8,42.7835,13.1247,10.2,2
10:03.1,42.8313,13.167,10.9,2
16:48.2,42.7348,13.1883,10,2.5
19:23.4,42.9288,13.2515,9.6,2
34:39.3,42.9213,13.2423,10,2
59:58.5,42.7955,13.2062,10.4,2.2
16:35.3,42.9292,13.2548,9.7,3
25:42.2,42.7263,13.1907,12.4,2.3
43:51.7,42.7362,13.1902,10.4,2.7
18:51.2,42.8607,13.2173,8.3,4.3
25:32.9,42.8763,13.2182,8.5,2.1
29:39.1,42.8642,13.2182,9.4,2.5
31:11.0,42.8627,13.2142,8.7,3
32:09.1,42.7593,13.1672,11,2.6
32:53.9,42.8557,13.2312,9.9,2.4
34:48.0,42.8677,13.2082,8,2.3
59:01.7,42.8843,13.0228,10.4,2.1
28:09.7,42.7245,13.1828,5.9,2.1
35:43.5,42.8775,13.2182,10.1,2
47:55.5,42.6368,13.2923,11.6,2.2
53:40.0,42.8533,13.2302,7.9,2.4
06:00.9,42.8683,13.2162,8.4,2.1
11:48.6,42.9173,13.2545,8.5,2.3
19:41.9,42.8658,13.2213,8.6,2.7
19:42.1,42.8642,13.214,8.2,2.7
20:32.5,42.7353,13.1893,10.5,2.6
34:28.9,42.6627,13.2102,13.1,2.1
34:55.5,42.8632,13.2167,8.7,2.2
38:52.5,42.8548,13.2083,7.5,2
45:08.0,42.7312,13.1923,10.4,2.2
27:04.6,42.7905,13.1977,10.2,2.5
01:05.2,42.7155,13.1878,10.9,2.4
14:00.6,42.7328,13.1918,9.8,2.1
16:22.8,42.7828,13.1372,8.6,2.6
39:05.8,42.8732,13.22,8.7,2.3
26:26.7,42.8677,13.2167,8.6,3
31:09.1,42.8755,13.2163,8.2,2.1
33:24.4,42.8688,13.2222,8.6,2.6
32:22.7,42.8592,13.2253,9.3,3.2
45:05.5,42.7322,13.1897,9.7,2.1
24:54.7,42.8027,13.1487,10,2.1
26:38.8,42.8057,13.2028,10.1,2.1
35:55.1,42.8068,13.1738,9.4,2.1
56:35.4,42.8502,13.2288,8.5,2.2
22:05.4,42.9233,13.2473,9,2.1
42:32.8,42.651,13.2972,8.2,2
49:33.0,42.8537,13.2257,9.3,2.1
48:03.7,42.8033,13.152,10.3,2.4
54:09.1,42.7457,13.1298,9.3,2.3
54:47.8,42.708,13.2507,10.8,2.2
10:54.4,42.5753,13.2518,10.5,2
19:08.6,42.7872,13.1217,9,2.5
20:16.4,42.7875,13.1118,9.8,3.2
56:03.6,42.7833,13.1873,9.8,2.2
45:35.8,42.7828,13.092,10.6,2.4
46:38.6,42.7745,13.1028,4.6,2.3
08:46.6,42.7413,13.2213,11.6,2.2
53:48.4,42.5543,13.3037,9.1,2
57:43.6,42.8537,13.2253,8.1,2.3
05:23.6,42.8592,13.2262,9.8,2.1
28:30.2,42.857,13.2573,9.9,2.2
44:40.6,42.8587,13.2248,9.5,2.1
48:00.4,42.8588,13.2318,9.6,2
26:43.9,42.7632,13.2717,14.2,2.8
16:08.0,42.7638,13.1942,10.8,2.4
31:35.3,42.8513,13.2303,9.1,2.9
32:28.4,42.8557,13.2322,6.3,2.2
55:00.5,42.778,13.1692,10.1,2
36:08.7,42.7868,13.2335,7.1,2.1
36:54.4,42.8437,13.1973,10.3,2.1
41:15.1,42.6747,13.2117,11.9,2
43:52.1,42.8535,13.2277,7.6,2
06:45.2,42.783,13.2303,6.9,2.6
44:50.7,42.8593,13.2243,8.9,2
07:05.2,42.8352,13.1445,10,2.3
12:33.3,42.7843,13.2093,10,2.4
25:08.9,42.765,13.2963,15.2,2.8
33:49.0,42.8198,13.2253,9.5,2.7
23:05.4,42.6867,13.2028,12.3,2.2
32:30.9,42.6095,13.3137,10.6,2.1
38:55.9,42.766,13.2893,14.7,2.5
56:53.3,42.8663,13.212,8.3,2
06:52.3,42.7852,13.1442,9.4,2.2
31:30.6,42.9232,13.2568,7.8,2
11:07.7,42.7907,13.1327,8.5,2.4
40:24.9,42.8563,13.2283,9.3,2.9
43:25.8,42.7857,13.1187,9.7,2.4
45:00.9,42.8938,13.205,8,2
10:20.4,42.7883,13.119,9.8,2.7
38:23.7,42.6483,13.1962,10.5,2.5
39:30.1,42.6527,13.1967,12.1,2.1
44:06.2,42.6532,13.2012,12.2,2.1
05:34.8,42.8572,13.2487,8.3,2.1
16:47.8,42.8248,13.1638,11.2,2
00:55.3,42.7583,13.1938,8.3,2.2
09:57.1,42.5655,13.2908,10.5,2.3
57:21.0,42.7177,13.2308,10.4,2
05:08.9,42.8725,13.2208,9.5,2.7
33:36.9,42.7527,13.1927,9.9,2.1
11:21.5,42.9227,13.2437,8.4,2.5
15:46.6,42.75,13.2313,10.4,2.2
16:37.9,42.7893,13.2248,8,2
25:57.1,42.8598,13.1157,7.4,2
45:28.2,42.767,13.1767,15.3,2.1
13:10.3,42.8415,13.2263,6.1,2.7
24:46.8,42.7178,13.0708,8.6,2.3
43:14.8,42.5712,13.2805,10,2
44:10.4,42.8472,13.2158,8.1,2.4
32:43.0,42.8193,13.0648,8,2.1
29:34.3,42.5062,13.4308,13.8,2
47:56.3,42.7915,13.1568,10,2.5
38:38.3,42.8392,13.1407,8.9,2.2
22:20.4,42.8487,13.2153,8.6,3.2
04:25.9,42.8612,13.2223,8.4,2.1
33:08.4,42.7452,13.238,10.7,2
39:41.2,42.82,13.1618,11.1,2.2
45:39.1,42.8287,13.2477,8.7,2.3
43:59.8,42.6677,13.1667,15.8,2.4
45:09.1,42.5568,13.2577,13.4,2.2
52:07.0,42.5753,13.2517,10.8,2
48:48.6,42.5692,13.2528,11.6,2
50:11.2,43.0265,13.3297,31.8,2
07:23.8,42.8462,13.2093,7.6,2.8
15:28.1,42.7998,13.1947,9.2,2
57:28.6,42.8182,13.1867,10.9,2
48:29.0,42.8537,13.2553,8.3,2.5
34:14.1,42.823,13.1607,10.1,2
40:52.1,42.8405,13.1575,11,2
58:39.8,42.7917,13.2262,10.5,2
12:31.0,42.7767,13.3187,13.8,2
49:05.4,42.6328,13.3067,11,2.8
58:06.9,42.6388,13.3038,11.2,2.2
59:03.0,42.8198,13.1608,11.1,2
33:27.0,42.5043,13.4272,10.6,2.1
55:05.0,42.8565,13.2187,9.1,2.1
22:57.6,42.7988,13.2283,13.3,2.3
33:06.2,42.8672,13.2167,8.6,2
42:51.7,42.7688,13.1708,12.7,3
06:47.5,42.7682,13.1723,14.5,2.4
59:37.7,42.8557,13.2362,9.4,3.2
40:34.5,42.6508,13.2222,13.7,2
40:45.1,42.836,13.2595,8.8,2.1
45:54.5,42.8377,13.2223,8.7,2
32:25.9,42.8588,13.1492,10.8,2.1
36:11.4,42.6502,13.3262,9.6,3.5
49:29.7,42.7418,13.1892,10.9,2
52:37.1,42.7203,13.2205,10.2,2.1
53:12.0,42.6568,13.3367,8.8,2.1
59:32.6,42.7793,13.1273,8,2.1
27:02.2,42.6532,13.3343,6.7,2.4
38:03.6,42.8432,13.1442,11.2,2.3
49:46.3,42.83,13.003,9.5,3
05:44.9,42.7345,13.1783,9.1,2
27:52.6,42.7725,13.242,13.3,2.5
34:09.4,42.7787,13.2452,14.8,2.6
34:51.8,42.7827,13.2168,14.6,2.3
40:49.6,42.6557,13.3438,9.8,2.5
46:08.4,42.7868,13.2548,14.1,2
18:11.1,42.6557,13.3358,10,3.2
36:38.0,42.903,13.1493,3.9,2
05:35.6,42.8028,13.1462,10.6,2.3
29:42.4,42.8027,13.1778,10.2,2
58:42.4,42.8628,13.233,9.1,2
52:51.9,42.7207,13.3527,19.3,2.2
22:55.2,42.8622,13.2203,8.5,2
37:55.3,42.8003,13.1198,7.7,2
47:25.7,42.7342,13.2588,10.2,2
10:40.2,42.8473,13.2272,9.2,2.1
21:36.4,42.5435,13.296,11,2
38:21.9,42.601,13.2605,11.3,2.5
35:59.6,42.6493,13.2988,8.5,2
56:26.6,42.7602,13.1885,9.9,3.2
57:36.5,42.7548,13.1982,9.9,2.5
18:38.1,42.7618,13.1948,10.4,2
09:37.2,42.8653,13.214,7.9,2.1
23:55.5,42.7368,13.199,10,2.6
45:26.4,42.8277,13.2417,9.3,2.1
02:33.7,42.6772,13.2707,12.9,2
06:34.2,42.7448,13.1842,10.8,2.4
17:17.4,42.5187,13.2877,15.6,2.3
25:07.1,42.7797,13.1335,10.5,2.1
31:16.4,42.6918,13.2732,14.7,2
12:21.6,42.7268,13.2197,11,2.2
16:47.3,42.8187,13.2317,9.2,2.1
07:58.4,42.8555,13.2312,8.8,2
41:38.8,42.7817,13.1442,10,2.1
53:07.8,42.7572,13.2357,9.8,2
29:38.2,42.843,13.1708,8.9,2.3
36:49.1,42.7468,13.237,10,2.1
15:23.6,42.7278,13.1882,9.5,2
27:21.0,42.7328,13.2558,13.3,2
03:29.3,42.7893,13.1315,7.5,2.1
04:08.4,42.7637,13.1713,11.1,2.2
40:13.3,42.7283,13.1272,15,2
46:38.5,42.7612,13.1708,10.9,2.1
52:39.7,42.8643,13.2232,9.5,3.2
01:00.3,42.7533,13.25,10,2.2
01:53.3,42.723,13.1305,14.5,2.2
32:31.4,42.732,13.2052,8.7,2.1
23:18.6,42.7553,13.2175,12.8,2.1
04:00.3,42.6797,13.2857,9.2,2
01:36.9,42.7852,13.1342,7.8,2
04:10.6,42.7348,13.1918,12.8,3.3
31:08.6,42.6093,13.2887,10.2,2.3
53:58.7,42.7398,13.1943,12.3,2
22:49.1,42.6788,13.2877,9.2,2.5
07:43.2,42.7473,13.2273,10.2,2.3
13:58.5,42.8057,13.2448,8.9,2.4
15:00.0,42.6833,13.2317,12.4,2.5
32:56.0,42.8063,13.1508,10.3,2.2
39:53.6,42.7338,13.1825,12.2,2
44:00.9,42.6842,13.2878,7.8,2
03:35.8,42.8022,13.2073,10.2,2.1
08:14.0,42.6383,13.2903,10,2.1
12:48.5,42.8667,13.2242,7.5,2.1
27:14.7,42.6788,13.2842,9.2,2
41:10.0,42.7327,13.2,10.3,2
48:23.2,42.8002,13.2092,10.3,2.6
08:47.6,42.8002,13.2043,10.2,3.4
02:39.9,42.7988,13.2063,9.8,2.1
53:16.0,42.7392,13.1673,9.4,2.4
19:46.3,42.6207,13.2832,15,2.1
29:55.8,42.7832,13.1652,11.9,2
57:24.5,42.8083,13.2103,10.4,2.1
14:07.9,42.7997,13.2063,10,2.2
33:58.2,42.805,13.2078,10.3,2
49:47.5,42.7783,13.1337,10.2,2.5
50:24.4,42.8908,13.0958,12.3,2.2
13:01.6,42.7823,13.1292,10.5,2.3
51:24.1,42.6357,13.224,12.3,2
54:50.9,42.5008,13.4255,12.1,2.4
17:11.1,42.7932,13.2377,7,2.4
41:46.9,42.7687,13.1523,9.6,2.4
00:56.7,42.798,13.2323,15.1,2.3
18:45.7,42.6832,13.2852,8.8,2.5
44:05.9,42.7812,13.1383,10.2,2.1
53:44.0,42.499,13.4298,10.9,2.3
19:49.5,42.8163,13.1662,10.7,2.2
55:19.9,42.6627,13.3262,9.6,2.5
16:56.5,42.6693,13.3018,12.8,2.1
39:11.9,42.6672,13.2963,12.4,3
57:17.7,42.6662,13.2992,11.5,2.2
49:33.8,42.7847,13.1302,7.9,2.1
19:37.1,42.7953,13.2047,10,2.1
23:13.8,42.7837,13.1332,10.5,2.3
29:34.2,42.7808,13.1308,8.1,2.1
38:43.7,42.8492,13.2453,15.1,2
13:26.6,42.8028,13.2428,9.7,3.3
19:45.8,42.8087,13.2472,10.1,2.5
47:38.3,42.8023,13.2118,10.3,2
22:31.3,42.8397,13.1358,10.9,2.9
19:08.3,42.8507,13.2498,9.8,2
35:32.4,42.6662,13.3122,12.9,2.4
10:21.5,42.8055,13.2017,10.4,2
10:36.2,42.607,13.2402,13,2.4
47:37.8,42.588,13.2678,12.8,2.4
41:36.0,42.8723,13.2253,9.1,2
31:21.4,42.7373,13.1902,11.2,2
47:03.1,42.6158,13.3233,10.2,2.3
19:54.1,42.8658,13.2237,8.4,2.4
20:45.9,42.6792,13.2802,9.1,2.4
25:53.8,42.953,13.1568,8.7,3.2
34:12.3,42.6845,13.223,9.8,2.2
49:13.4,42.7813,13.3673,16.8,2.5
00:33.9,42.8218,13.2635,9.7,2
00:39.2,42.7468,13.19,10.4,2
11:51.4,42.8012,13.2258,9.3,2
21:22.0,42.8643,13.2247,9.9,2.2
41:23.9,42.8022,13.1467,9.4,2
15:59.3,42.6583,13.3202,9.5,2.7
23:15.8,42.6312,13.3122,10.8,2.2
56:23.7,42.8368,13.2498,9.2,2.6
56:43.5,42.8617,13.1585,9.5,2.6
57:43.2,42.7498,13.2553,10.8,2.3
35:38.1,42.859,13.2202,8.2,2.2
37:43.0,42.6793,13.285,9.5,2.3
58:38.5,42.8222,13.1392,13.1,2.1
37:04.9,42.611,13.3103,10.7,2.2
24:48.8,42.8238,13.2427,9.3,2.3
31:46.3,42.7513,13.1517,7.9,2.1
58:33.9,42.8537,13.2718,9.5,2
44:35.3,42.8192,13.2382,9.3,2.3
56:26.2,42.8472,13.2423,8.7,2.7
59:22.2,42.8565,13.2147,9.7,2.6
47:41.7,42.7562,13.1742,10.3,2.1
39:35.2,42.8148,13.2417,7.1,2.6
50:46.1,42.8545,13.2503,7.7,2.2
16:19.5,42.7265,13.2137,11,2
23:12.6,42.6773,13.2977,11.8,2.1
22:06.3,42.8627,13.2302,8.3,2.3
35:15.2,42.8647,13.256,9.4,2.4
07:07.8,42.6798,13.2815,9.5,2.5
03:43.5,42.8483,13.2612,9,2
26:18.2,42.7437,13.1483,11.4,2
37:12.8,42.8192,13.2545,6,2.5
24:23.1,42.7863,13.1837,12.4,2
25:41.2,42.7775,13.1433,9.8,2.1
13:14.5,42.8228,13.2332,8.5,2.3
14:11.0,42.8167,13.2413,6.3,2.1
13:23.7,42.7457,13.1817,8.1,2.2
31:30.7,42.6388,13.319,10,2.5
48:42.2,42.7392,13.1682,8.6,2.5
49:20.1,42.8508,13.2457,9.3,2.1
00:54.1,42.8025,13.2677,13,2.2
55:47.9,42.6795,13.2888,9.8,2.2
03:42.2,42.8832,13.2837,7.7,2.1
07:21.4,42.8692,13.2608,9.9,2.2
34:20.3,42.7782,13.119,12.2,2
11:30.7,42.7262,13.2143,11.6,2.3
48:39.0,42.6752,13.2193,12.4,2
20:50.2,42.8763,13.2888,8.6,2
14:13.3,42.637,13.3,8,2
20:19.0,42.8002,13.2167,9.3,2.1
20:48.1,43.4638,12.6292,9.8,2
22:07.8,42.8623,13.2587,9.6,2.7
33:54.5,42.8035,13.1565,10.6,2.2
09:39.2,42.7307,13.17,12.6,2.1
22:36.0,42.7705,13.1093,13.1,2.1
08:14.1,42.6815,13.2863,9.6,2.5
08:42.7,42.8578,13.2537,8.9,2.2
24:26.7,42.8427,13.2505,8.1,2
29:39.6,42.837,13.2627,9.2,3
40:30.0,42.809,13.252,13.7,2.1
05:16.9,42.7233,13.2107,11,2.8
34:43.7,42.6807,13.1725,12.2,2.1
42:20.2,42.9458,13.3018,24.6,2.2
35:34.7,42.6125,13.2668,11.8,2
19:36.0,42.7727,13.1172,12.2,2
45:45.5,42.6803,13.2003,11.8,2.1
23:36.6,42.9557,13.161,8.9,3.2
26:38.4,42.7433,13.2277,12.7,2.1
43:34.1,42.8532,13.2582,8.8,2.3
00:02.9,42.7863,13.2352,9.3,3.3
04:44.4,42.8605,13.2697,9,2.6
37:11.0,42.7733,13.1167,11.7,2
03:35.2,42.7283,13.1713,13,2
30:27.1,42.7848,13.144,9.6,2.3
24:13.2,42.7713,13.1402,10,2
41:49.1,42.7752,13.1417,10.1,2.1
32:43.9,42.7763,13.1368,10,2.9
19:58.3,42.7252,13.1668,13,2
56:55.9,42.7813,13.1297,10,2.1
58:50.9,42.8618,13.2207,8.6,2.4
00:59.4,42.5917,13.2367,12.5,2.2
13:21.7,42.7793,13.1275,10,2.3
39:04.2,42.7447,13.1872,9.4,2
26:35.7,42.7227,13.2135,11.2,2.3
53:48.1,42.7762,13.1462,10.2,2
05:41.0,42.7752,13.1232,11.1,2.2
16:36.2,42.8512,13.2548,7.8,2.1
00:58.2,42.6798,13.2843,9.6,2.6
05:20.6,42.9767,13.0557,9,2
48:53.9,42.6843,13.213,12.7,2.3
49:52.5,42.7902,13.2355,9.3,2.1
49:14.8,42.7825,13.1315,9.8,2.5
54:43.3,42.8582,13.2377,8.2,2.4
22:29.1,42.7795,13.1292,10.4,2.4
12:03.5,42.8808,13.1528,14,2.1
39:02.6,42.6817,13.28,9.9,3.3
17:16.2,42.7217,13.2173,11,2.2
10:59.7,42.7975,13.2245,6.9,3.1
11:56.3,42.8038,13.2387,9.6,2.5
17:34.8,42.8358,13.1482,10.9,2
04:27.5,42.563,13.2382,12.8,2.3
41:14.1,42.7028,13.2373,13,2
50:38.3,42.7457,13.1952,10.3,2.4
57:00.2,42.6797,13.2792,8,2.4
20:24.6,42.7708,13.1827,10.3,2.4
44:54.0,42.8678,13.2252,9.3,2
32:45.1,42.6767,13.1765,8,2.1
02:16.0,42.7302,13.1878,8.9,2.6
18:56.6,42.7832,13.1218,8.5,2.3
30:20.3,42.7872,13.1207,6.4,2.3
06:24.3,42.5913,13.2363,13,2
22:51.2,42.8768,13.2447,9.3,2.1
28:26.7,42.9255,13.2618,9.5,2.5
53:34.4,42.5947,13.2402,12.4,2.3
42:27.7,42.7795,13.1308,10,2.3
10:47.9,42.8743,13.2332,10.6,2
57:55.7,42.8637,13.256,9.6,2.5
39:52.7,42.5947,13.2372,12.1,2.1
14:01.7,42.8717,13.2258,9.6,2.3
58:58.8,42.7878,13.1758,10.5,2.5
59:43.8,42.8703,13.229,8.9,2.4
46:40.4,42.8888,13.2802,8.9,2.3
21:14.2,42.866,13.2398,9.7,2.5
07:49.1,42.7673,13.1678,11,2
26:18.6,42.787,13.1223,7.3,2.3
13:16.8,42.8753,13.2288,9.6,2.3
26:08.1,42.7847,13.1692,9.6,2.9
06:53.1,42.7863,13.1702,10.1,2.1
32:39.1,42.7902,13.1693,10.4,2.4
54:47.3,42.9558,13.1553,8.7,2.3
36:33.1,42.6122,13.2842,9.7,2
04:21.0,42.5838,13.2045,15.9,3.4
22:13.6,42.7775,13.1443,9.7,2.1
59:33.0,42.6922,13.2418,13.4,2
02:01.6,42.6603,13.2428,13.2,2
49:26.6,42.7863,13.1683,10.7,2.4
13:50.4,42.7257,13.2195,10.8,2.2
04:40.3,42.7757,13.134,9.8,2.3
09:18.2,42.5827,13.3193,9.8,2
31:16.1,42.7757,13.1435,9.8,2.3
26:10.8,42.8405,13.2545,4.9,2.1
18:49.0,42.7222,13.241,10.2,2.7
07:44.3,42.7337,13.1787,13.8,3.1
00:00.4,42.7332,13.1797,11.1,2.2
50:01.8,42.7863,13.1322,9.9,2.2
41:02.1,42.6715,13.2187,13.4,2.3
05:53.6,42.7745,13.1327,9.5,2.1
32:32.5,42.7527,13.1825,9.6,2
19:01.5,42.5797,13.3183,11,2.3
17:00.1,42.7093,13.1183,13.6,2.3
33:23.6,42.7228,13.2145,11.3,2
41:02.0,42.8363,13.1695,11.8,2.2
41:49.3,42.7357,13.2233,11.1,2.1
18:29.6,42.8717,13.2623,10,2.6
59:42.1,42.8552,13.2423,9.5,2.3
23:05.2,42.7795,13.1247,14.2,2.2
06:49.8,42.8568,13.2563,9.5,3
13:22.5,42.8522,13.2573,8.9,2
19:51.9,42.8252,13.1678,11,2.3
46:17.3,42.7247,13.2187,12.2,2.2
27:11.1,42.8003,13.1923,9.5,2.1
24:01.8,42.7357,13.1723,8.7,2
29:02.5,42.7287,13.2658,9.7,2.6
16:19.4,42.6642,13.2193,12.9,2.3
39:50.0,42.751,13.1452,8,2.4
13:35.9,42.8133,13.156,10.6,2.1
00:13.8,42.7835,13.1298,10.3,2.7
22:54.0,42.8737,13.1772,9.4,2.3
44:39.7,42.7867,13.1235,9.5,2
45:24.3,42.6537,13.2137,14,2.1
51:29.9,42.7792,13.1278,10.2,3.1
40:47.0,42.7758,13.1328,8.5,3.1
40:52.5,42.768,13.1335,9.2,3.7
43:51.7,42.7747,13.1303,10,3.7
44:24.3,42.7762,13.1342,8.3,3.9
47:00.6,42.7745,13.1423,6,2.6
