Time,Latitude,Longitude,Depth/Km,Magnitude
55:33.3,42.8265,13.2725,6.7,3.1
56:38.2,42.7848,13.1368,10,2.8
58:51.3,42.7575,13.1775,10.4,2.7
00:30.6,42.821,13.1627,9.6,2.4
02:58.8,42.8187,13.195,10.3,3.2
04:37.8,42.8112,13.1953,10.2,2.9
05:09.9,42.6535,13.2667,11.8,2.6
09:46.3,42.7627,13.1783,10.5,2.2
13:30.2,42.8063,13.2003,9.1,2.1
15:01.0,42.7735,13.1618,10.2,2.5
23:09.1,42.7623,13.1373,12.9,2.1
25:32.4,42.8118,13.1832,9.3,2.4
28:08.4,42.4708,13.2475,12.4,2.8
31:43.3,42.8123,13.1923,9.5,3.4
33:13.2,42.8173,13.1933,10.6,2.5
36:50.1,42.4798,13.2378,12.8,2
39:12.5,42.7282,13.2497,9.2,2.2
41:15.2,42.8212,13.1668,9.9,2.9
43:48.0,42.6618,13.2958,9,3.1
45:54.9,42.6097,13.2858,14.4,2.5
48:27.9,42.6102,13.2018,15.2,2.2
49:58.0,42.6372,13.2422,10.8,2.2
53:17.7,42.7807,13.1998,10.8,2.3
56:05.6,42.8167,13.1812,5.7,2.2
00:40.6,42.7102,13.2357,4.2,2.4
01:27.7,42.7925,13.2128,9.7,2.3
06:41.6,42.7437,13.1793,10.5,3.2
09:26.4,42.6535,13.3092,15.8,3.1
11:19.5,42.7883,13.18,7.1,2.2
15:10.8,42.716,13.219,9.6,3
19:15.4,42.7392,13.236,8,2.5
22:43.3,42.7562,13.1177,8.2,2.8
28:59.0,42.7567,13.119,6,2.7
32:42.7,42.603,13.2325,11,3
36:45.3,42.7198,13.2137,15.1,2.2
41:16.7,42.7523,13.1072,7.1,2.1
42:41.9,42.8175,13.1602,9.9,2.1
44:48.1,42.7423,13.2328,15.9,2.7
52:34.2,42.8225,13.2377,7.1,2.8
57:16.5,42.6238,13.2363,11.1,2.3
05:42.5,42.6432,13.2282,2.4,2.8
06:48.4,42.8067,13.1563,10.4,2.3
09:51.9,42.8257,13.2152,9.3,2.1
12:58.0,42.7135,13.1822,15.6,2
20:32.2,42.7632,13.2063,16.6,2
23:58.4,42.7652,13.1663,10.2,2.7
24:50.6,42.6443,13.2522,11.8,2.3
28:52.5,42.7477,13.2557,10.9,2.5
31:53.4,42.7458,13.1927,10.9,3.1
34:20.9,42.7387,13.1668,11,2.3
36:26.7,42.8203,13.1613,9.8,2.7
37:40.4,42.8063,13.2233,9.1,2.7
40:15.7,42.7358,13.1957,10.4,2.9
50:30.6,42.8197,13.1602,9.8,4.5
59:59.8,42.8332,13.1435,10.2,3.5
01:48.4,42.8243,13.1705,8.8,3
06:09.3,42.8347,13.1507,10.3,3.6
13:27.0,42.8282,13.1538,9.7,2.9
18:27.0,42.8207,13.1248,7.8,3.4
22:53.3,42.8053,13.2087,9.1,2.4
42:10.4,42.8352,13.2543,7,2.7
43:42.0,42.8363,13.2518,8.6,2.3
00:26.8,42.8213,13.1547,9.7,2.8
05:11.3,42.748,13.2242,8.8,2.3
12:09.0,42.8047,13.2592,7.8,2.9
20:03.6,42.8192,13.2235,7.8,2.8
23:51.1,42.8095,13.243,7.3,2.6
25:33.2,42.835,13.1613,9.8,2.3
31:53.2,42.7867,13.2115,6.8,2.3
